Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 hmac.py:98(copy)
        6    0.000    0.000    0.000    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
       60    0.000    0.000    0.000    0.000 re.py:250(compile)
        3    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
       63    0.000    0.000    0.000    0.000 zmqstream.py:425(sending)
        4    0.000    0.000    0.000    0.000 prefilter.py:246(prefilter_line_info)
       28    0.000    0.000    0.000    0.000 functools.py:870(wrapper)
        6    0.000    0.000    0.000    0.000 codeop.py:108(_compile)
       20    0.000    0.000    0.000    0.000 session.py:217(msg_header)
        4    0.000    0.000    0.000    0.000 prefilter.py:255(find_handler)
        2    0.000    0.000    0.000    0.000 history.py:691(store_inputs)
       14    0.000    0.000    0.000    0.000 kernelbase.py:784(_topic)
       24    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       43    0.000    0.000    0.000    0.000 base_events.py:738(_call_soon)
        4    0.000    0.000    0.000    0.000 zmqstream.py:530(_add_io_state)
       60    0.000    0.000    0.000    0.000 re.py:289(_compile)
       15    0.000    0.000    0.000    0.000 asyncio.py:221(add_callback)
       26    0.000    0.000    0.000    0.000 hmac.py:111(_current)
       22    0.000    0.000    0.000    0.000 session.py:148(utcnow)
       24    0.000    0.000    0.000    0.000 concurrent.py:173(future_set_result_unless_cancelled)
        3    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       78    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HASH' objects}
       99    0.000    0.000    0.000    0.000 four_ws_rover_dynamic_simulator_full_par.py:2841(setDrivingTorque)
        6    0.000    0.000    0.000    0.000 queues.py:209(put_nowait)
       63    0.000    0.000    0.000    0.000 queue.py:96(empty)
      708    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 displayhook.py:56(set_parent)
       25    0.000    0.000    0.000    0.000 zmqstream.py:351(update_flag)
        4    0.000    0.000    0.000    0.000 zmqstream.py:548(<lambda>)
       16    0.000    0.000    0.000    0.000 threading.py:505(__init__)
      104    0.000    0.000    0.000    0.000 hmac.py:94(update)
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
       40    0.000    0.000    0.000    0.000 cp1252.py:11(encode)
       12    0.000    0.000    0.000    0.000 signal.py:25(_int_to_enum)
        6    0.000    0.000    0.000    0.000 kernelbase.py:284(pre_handler_hook)
       28    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        6    0.000    0.000    0.000    0.000 kernelbase.py:289(post_handler_hook)
       14    0.000    0.000    0.000    0.000 py3compat.py:29(cast_bytes)
       20    0.000    0.000    0.000    0.000 session.py:511(msg_id)
       82    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      220    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       52    0.000    0.000    0.000    0.000 traitlets.py:615(_cross_validate)
        3    0.000    0.000    0.000    0.000 kernelbase.py:323(schedule_next)
       12    0.000    0.000    0.000    0.000 enum.py:283(__call__)
       46    0.000    0.000    0.000    0.000 events.py:32(__init__)
       80    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
      354    0.000    0.000    0.000    0.000 threading.py:513(is_set)
       22    0.000    0.000    0.000    0.000 gen.py:146(_create_future)
       28    0.000    0.000    0.000    0.000 gen.py:841(convert_yielded)
      186    0.000    0.000    0.000    0.000 _parser.py:214(isnum)
        3    0.000    0.000    0.000    0.000 ioloop.py:587(call_later)
      130    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        4    0.000    0.000    0.000    0.000 splitinput.py:110(__init__)
       28    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
       12    0.000    0.000    0.000    0.000 enum.py:562(__new__)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       28    0.000    0.000    0.000    0.000 functools.py:814(dispatch)
